Noun,Verb,Adjective,Exclamation
친분,애써서,무섭더냐,
매우,보내도,뻔한,
수완,갈,아니구,
인물,대가듯,대단하긴,
현재,쉽게,대단한,
대한민국,가니,그렇치,
권력,할,망한,
정부,난다,없을거에요,
관계자,봐라,없지,
말,생기데로,아니다고,
정도,살거,있으니,
그,먹고,안타깝다,
최,했는데,아님,
실,보이는데,없습니다,
현재,모른,확실히,
이슈,하네요,공정한,
미르,타면,미쳤구나,
재단,됩니다,없었다,
종잣돈,와,뻔하다,
기업인,들어가는,젊은,
협박,먹,없는것,
마련,되고있네,같고,
추정,생겼네,아니면서,
새누리당,몰랑,좋긴,
대표,않습니까,좋구나,
이정현,모르는,있었길래,
단식,가리려고,없는,
쇼,하는구나,있단다,
위함,하는,가벼운,
함,건지,조용할,
최,사냐,없네,
실,지나가는,없었다면,
딸년,웃겠다,아님,
현재,틀려,있다,
승마,웃겨서,없었다고,
이대,줬지만,원하셔야,
특혜,들이대,같네,
입,봤,대단하다,
재학,해보든지하지,어마어마하십니다,
이슈,하고,없다,
자,하는데는,없다,
헬조선,버티기에,없다,
현황,넘어간다면,심각한,
이제,하던,있다,
총장,나온,없는,
편이,없어지고,칠하는구나,
셨,빌붙어,추하다,
요,먹는,아니네요,
예전,썩어,있었네,
고려대,빠진,있었네,
김연아,부르,있나,
훈련,되겠네요,조용히,
때문,받네,없으면,
수업,써도,없고,
몇번,되고,비리는있었겠지,
바로,만들어놓고,뻔하기,
그,하고,없구나,
과목,하자는,역겹다,
김연아,떨어진지,역겨워,
쌍,내려가는,무섭냐,
권총,내려,창피하다,
라며,갈게,어떻게,
언론,모르겠지만,스럽다,
자극,살면서,있고,
제목,하지,같은,
그때,해봐야겠다,답답한,
고려대,하시요,없다고,
최,몰고,있어도,
모씨,다녀서,아니라는데,
딸,할,두껍다,
정모,빼앗는,부끄럽지도,
김연아,되나,미친,
더,가보네요,있네,
학점,버티기,빡친다,
인정이,들어가겠지,죄송하다는,
세계,바꾸네가,같은,
업적,했음,가득한,
대한민국,보이는데요,그럼,
공,받았겠나,추하네,
세운,하면,없으면,
건가,깔게,좀하지,
띄어쓰기,해야겠지,끈질기네,
레포트,가릴라는,당연히,
인정,가서,아니겠지,
수준,배울까,그렇게는,
학교,나온,무서운,
방,이러면,무서운지,
소문,비웃을듯,올바른건,
여자,쪽팔린줄,아니라는,
특혜,알아야지,공평하지,
란말,듣지도,있으며,
의미,않고,없니,
교수,해야,많네,
학생,된다,같은데,
존대,해도,있다면,
권력,믿으라고,조용히,
굴복,마셨지만,있다면,
거,하지,비슷하네요,
반말,않았다,아닙니다,
인권,생각나는건,아니라,
무시,일까,아니고,
교수,하던,없지,
기준,됨,있길래,
이건,되는,있지,
샅샅,해,없어,
조사,했다고,없지,
사항,되고있고,한심하고,
도대체,덮기,부끄럽다,
누구,됨,없는거지요,
이,알겠음,있는,
모녀,챈,한결같은,
년,되어,확실히,
약,이러지도,없었다,
팔,저러지도,없으면,
국민,하는,없는지,
생,하는,좋겟다,
세상,들리는구나,없을까,
분명,했네,있으셔야죠,
니,가만있지,없는지도,
고,않을텐데,많은데,
리포트,해봐야,확실히,
제,드러나게,안되겠다,
저런,될것을,확실히,
총장,맬까,같은나라,
생,들어가니,탁하다,
불쌍타,알아라,같아요,
암,할란다,확실히,
전두환,열어,있었다,
서강대,놔라,그래야지,
공대,이러면,아니야,
졸업,하다니,그럼,
사람,끌어내리고,당연히,
산소,던져,있다고,
가스,줬다,아니라고,
산화,밝혀,한결같은,
가스,보자,부끄러운줄,
용어,돌아가세요,대단하다,
사용,하고,좋은,
이,받아도,같아요,
말,주던,아니네,
그것,였다,궁금해서,
서강대,듣지,그러는데,
전체,않는,멀,
수석,해서,아니다라고,
최,죽어라,있나요,
실,해도,확실히,
딸,는,없었었으면,
여자,한,좋겠다는,
좀,받았다,없는,
특혜,했는데,멍청한거냐,
주장,가,아닌,
가요,나와서,답답한데,
이번,따지러,있으면,
정권,가니,가능한거지,
해도,줄수,싫다,
해도,받았다,그럼,
이명박,짜고,확실히,
정권,였다,이럴,
어차피,하기,있는거지,
경제,쌓고,더럽네,
이번,쌓은,무섭구나,
정권,만드냐,당하지말고,
위,않냐,확실히,
아래,난다,있었다고,
안,한거,아니지,
은,맞네,당연히,
인간,않은,없고,
최소한,꾸한데,없는,
윤리,들린다,좋을것,
인간,안하니,같구만,
정권,하는게,칠하는,
핵심,맞을,그러냐,
여자라서,겁니다,알맞은,
감정,만나서,답답하다,
위주,가고,없다,
사람,해쳐,확실히,
합리,묵어라,아니다,
지도,갈란다,아니다,
직언,들이,뻔하고,
인사,모르고,사악한,
감정,들,없었지만,
처리,들,있었다,
못,하면서,확실하다,
버티고,않니,있기나,
극우,늙은,없다고,
인사,어린,있어,
번,해쳐,많냐,
다시,먹고,많아,
우리나라,집가서,없다,
여자,않니,뻔뻔스럽다,
대통령,해쳐,뻔뻔스럽게,
우리,먹고,번하시죠,
남,하는,아니다,
정신,앉아,똑같다,
경북,보니,아니래,
십년,집가서,저렇구나,
해,하는,그만하면,
인물,나면,강한,
전부,하네요,확실히,
은,하더니히히,없었다,
극우,아는,있단,
