낯간지럽다,0.04,0.28,기타 기쁨
낯설다,-0.15,0.21,공포 놀람
냉혹하다,-0.48,0.46,슬픔 공포
아유,-0.68,0.26,슬픔 분노
떨떠름하다,-0.21,-0.2,지루 혐오
불쾌하다,-0.75,0.45,혐오 분노
신기하다,0.44,0.21,흥미 놀람
싱숭생숭하다,-0.36,-0.15,슬픔 중성
위축되다,-0.4,0.32,슬픔 공포
전전긍긍,-0.51,-0.06,슬픔 기타
진저리나다,-0.75,0.23,혐오 지루
한심하다,-0.48,0.13,혐오 분노
경이롭다,0.65,0.38,놀람
갑갑하다,-0.15,-0.28,지루함
거북하다,-0.63,0.08,혐오
격해지다,-0.65,0.54,분노
경쾌하다,0.75,0.45,기쁨
괴상하다,-0.7,0.08,혐오
괴팍하다,-0.72,0.06,혐오
근사하다,0.57,0.57,기쁨
근심스럽다,-0.48,-0.12,슬픔
기상천외,0.02,0.54,놀람
기이하다,-0.14,0.48,놀람
기절초풍하다,-0.03,0.65,놀람
까르르,0.67,0.7,기쁨
깔깔깔깔,0.83,0.63,기쁨
망연,-0.51,-0.43,슬픔
못미덥다,-0.55,0.15,혐오
반신반의하다,-0.54,0.18,흥미
발칙하다,-0.74,0.34,분노
방긋,0.7,0.64,기쁨
분노하다,-0.73,0.55,분노
분통터지다,-0.83,0.43,분노
뾰루퉁하다,-0.56,0.3,분노
쇼킹하다,-0.02,0.45,놀람
스산하다,-0.48,0.57,공포
심통,-0.78,0.38,분노
쓴웃음,-0.46,-0.2,슬픔
씩씩거리다,-0.63,0.36,분노
아리송하다,0.43,0.15,흥미
애달프다,-0.7,-0.28,슬픔
오싹하다,-0.44,0.73,공포
울부짖다,-0.93,-0.25,슬픔
울분,-0.78,-0.53,슬픔
원통하다,-0.73,-0.4,슬픔
으하하하,0.76,0.38,기쁨
좌절되다,-0.52,-0.45,슬픔
참담하다,-0.73,-0.43,슬픔
청승맞다,-0.5,-0.15,슬픔
초라하다,-0.54,-0.43,슬픔
침통하다,-0.73,-0.4,슬픔
코웃음치다,-0.48,0.1,혐오
콩닥거리다,0.62,0.39,기쁨
한숨짓다,-0.54,0.1,슬픔
함박웃음,0.7,0.31,기쁨
해괴하다,-0.78,0.08,혐오
히죽거리다,0.64,0.49,기쁨
염려하다,-0.58,-0.04,슬픔 기타
시덥잖다,-0.44,0.13,지루 혐오
신물나다,-0.74,0.16,혐오 지루
쑥스럽다,0.03,0.34,기쁨 기타
몸서리치다,-0.85,0.46,공포 혐오
뒤숭숭하다,-0.3,0.44,슬픔 공포
가증스럽다,-0.44,0.18,분노 혐오
갈증나다,-0.09,0.02,통증 중성
경멸하다,-0.83,0.33,혐오 분노
고약하다,-0.48,0.32,혐오 분노
급박하다,-0.37,0.58,공포 놀람
기고만장하다,0.38,0.36,기타 기쁨
참혹하다,-0.7,-0.43,슬픔 공포
학수고대하다,0.31,0.05,흥미 기쁨
갈등하다,-0.58,0.23,중성 분노 통증
남부끄럽다,-0.75,0.23,혐오 기타 분노
가련하다,-0.53,-0.15,슬픔
갈기갈기,-0.64,0.29,분노
감개무량하다,0.68,0.44,기쁨
경악하다,-0.24,0.66,놀람
감회,0.38,-0.24,기쁨
겸연쩍다,-0.35,-0.02,기타
경박하다,-0.72,0.12,혐오
고리타분하다,-0.2,-0.53,지루함
구슬프다,-0.51,-0.25,슬픔
글썽글썽하다,-0.51,-0.19,슬픔
기집년,-0.64,0.26,분노
남부럽다,-0.55,-0.08,슬픔
낭패스럽다,-0.78,-0.1,슬픔
냉가슴,-0.25,-0.24,중성
넌더리,-0.75,0.18,혐오
달갑잖다,-0.61,0.1,혐오
뜨악하다,-0.09,0.55,놀람
망막하다,-0.45,-0.53,슬픔
모멸감,-0.65,0.33,분노
미친개,-0.8,0.55,분노
비딱하다,-0.5,0.14,분노
속앓이,-0.44,-0.12,슬픔
송구하다,-0.45,0.26,슬픔
신명나다,0.39,0.49,기쁨
신바람나다,0.55,0.21,기쁨
애석하다,-0.49,-0.18,슬픔
애통하다,-0.48,-0.33,슬픔
어여쁘다,0.39,0.21,기쁨
우라질,-0.7,0.41,분노
울상,-0.68,-0.08,슬픔
원더풀,0.46,0.62,기쁨
을씨년스럽다,-0.5,0.51,공포
음울하다,-0.36,-0.19,슬픔
이힛힛힛,0.66,0.71,기쁨
잔혹하다,-0.46,0.72,공포
적적하다,-0.66,-0.04,슬픔
절절매다,-0.79,-0.15,슬픔
참회하다,-0.45,-0.08,슬픔
카핫핫핫,0.67,0.65,기쁨
통탄하다,-0.46,-0.35,슬픔
희희낙락하다,0.7,0.52,기쁨
가당찮다,-0.71,0.29,분노 혐오
골칫거리다,-0.58,0.18,분노 혐오
노심초사하다,-0.43,0.62,공포 슬픔
마땅찮다,-0.48,0.2,지루 분노
뼈아프다,-0.32,0.18,통증 슬픔
상기되다,0.45,0.62,기쁨 흥미
전율하다,0.26,0.6,놀람 흥미 기쁨
급작스럽다,-0.03,0.63,놀람
각성되다,-0.21,0.68,중성
갈구하다,0.28,0.23,흥미
갈망하다,0.35,0.21,흥미
감흥,0.48,0.67,기쁨
감복하다,0.41,0.55,기쁨
격노하다,-0.76,0.48,분노
격분하다,-0.75,0.54,분노
격앙되다,-0.79,0.54,분노
격양되다,-0.79,0.55,분노
곤욕스럽다,-0.61,0.03,슬픔
기구하다,-0.56,-0.03,슬픔
까무러치다,0.01,0.65,놀람
끼득끼득,0.53,0.65,기쁨
낙망하다,-0.71,-0.15,슬픔
네년,-0.85,0.54,분노
네놈,-0.76,0.36,분노
노여워하다,-0.68,0.46,분노
멋쩍다,-0.05,0.35,기타
멸시당하다,-0.8,0.33,분노
방그레,0.53,0.6,기쁨
방글방글,0.5,0.58,기쁨
복수심,-0.65,0.29,분노
분개하다,-0.64,0.23,분노
불유쾌하다,-0.65,0.26,분노
비탄하다,-0.74,-0.25,슬픔
비통하다,-0.73,-0.29,슬픔
빙그레,0.55,0.62,기쁨
사무치다,-0.69,-0.38,슬픔
새파래지다,-0.56,0.55,공포
숙연하다,-0.59,-0.3,슬픔
신통찮다,-0.36,-0.48,지루함
심드렁하다,-0.34,-0.4,지루함
심려하다,-0.65,-0.25,슬픔
쌩끗,0.6,0.65,기쁨
씰룩거리다,0.65,0.62,기쁨
아연실색하다,-0.1,0.68,놀람
알쏭달쏭하다,0.36,0.16,흥미
애끓다,-0.78,-0.38,슬픔
와들와들,-0.64,0.68,공포
으스스하다,-0.59,0.53,공포
절절하다,-0.66,-0.29,슬픔
진노하다,-0.66,0.54,분노
측은하다,-0.73,-0.31,슬픔
치떨리다,-0.85,0.39,분노
치욕적,-0.83,0.35,분노
킬킬거리다,0.43,0.65,기쁨
탄복하다,-0.75,-0.22,슬픔
질겁하다,-0.16,0.9,공포 놀람
초연하다,-0.4,-0.09,중성 슬픔
가고파,0.26,0.18,흥미 슬픔
개운찮다,-0.33,0,기타 중성
계면쩍다,-0.28,-0.02,기타 중성
고취되다,0.36,0.8,기쁨 흥미
곤혹스럽다,-0.24,0.39,놀람 슬픔
고단하다,-0.67,-0.53,슬픔 통증 지루함
